Country,N_Genera,N_Species,N_Publications,Total_Citations,Mean_Citations
USA,30,182,446,21760,48.789237668161434
UK,21,82,254,93840,369.4488188976378
Spain,18,72,184,6593,35.83152173913044
Belgium,14,70,167,12717,76.1497005988024
Iran,16,72,156,1859,11.916666666666666
China,13,41,124,4097,33.04032258064516
Australia,11,31,92,4441,48.27173913043478
Brazil,10,41,89,1676,18.831460674157302
France,6,33,84,9090,108.21428571428571
South Africa,17,32,71,2436,34.309859154929576
Japan,13,39,67,1437,21.44776119402985
Germany,10,20,62,4507,72.69354838709677
India,12,25,54,1737,32.166666666666664
Netherlands,13,24,52,4597,88.40384615384616
Italy,8,20,34,1580,46.470588235294116
Egypt,8,10,34,1075,31.61764705882353
Poland,10,18,31,1891,61.0
Kenya,6,11,27,1173,43.44444444444444
Greece,5,7,26,2817,108.34615384615384
Russia,10,16,26,280,10.76923076923077
New Zealand,7,12,23,529,23.0
Vietnam,6,11,20,236,11.8
South Korea,8,12,20,312,15.6
Portugal,6,9,18,1494,83.0
Bulgaria,6,9,17,243,14.294117647058824
Saudi Arabia,4,4,15,455,30.333333333333332
Slovakia,3,8,14,108,7.714285714285714
Mexico,6,8,12,259,21.583333333333332
Canada,7,8,12,340,28.333333333333332
Switzerland,4,5,11,2111,191.9090909090909
Nigeria,6,8,10,93,9.3
Slovenia,1,6,10,46,4.6
Pakistan,4,5,9,190,21.11111111111111
Turkey,7,8,9,62,6.888888888888889
Senegal,5,6,8,55,6.875
Uganda,4,4,7,146,20.857142857142858
Austria,2,2,7,1032,147.42857142857142
Serbia,1,3,7,37,5.285714285714286
Czech Republic,3,4,7,64,9.142857142857142
Costa Rica,4,5,7,304,43.42857142857143
Israel,4,4,4,60,15.0
Indonesia,3,3,4,4,1.0
Sweden,3,4,4,92,23.0
Argentina,2,2,3,22,7.333333333333333
Sudan,1,1,3,0,0.0
Cameroon,1,1,3,0,0.0
Chile,1,1,3,51,17.0
Hungary,1,2,3,51,17.0
Burkina Faso,1,1,2,20,10.0
Rwanda,1,1,2,54,27.0
Thailand,1,2,2,10,5.0
Finland,2,2,2,12,6.0
Colombia,1,1,1,2,2.0
Croatia,1,1,1,0,0.0
Cambodia,1,1,1,13,13.0
Lithuania,1,1,1,1,1.0
